Voltmètre (V);Puissance (kW);Vitesse (tr/min);PT100_Roulement_Moteur_Avant (°C);PT100_Roulement_Moteur_Arrière (°C);PT100_Bobine_1 (°C);PT100_Bobine_2 (°C);PT100_Bobine_3 (°C);PT100_Roulement_Pompe_Avant (°C);PT100_Roulement_Pompe_Arrière (°C);Capteurs_Position_Arbre (mm);Pression_Refoulement (bar);Débit (m3/h);Type_Défaut
377.45401188473625;328.35583735534254;2949.809840995146;49.12254319125374;70.2085483990223;69.87260821814712;69.78574523753501;72.82485753429769;107.69015588161041;103.14078399414515;0.09241662906948694;24.07496723246695;433.8485201825741;Normal
435.0714306409916;316.54450790710695;3019.299588448939;33.392747287197125;104.22545486380604;112.87632761167961;74.73841482476763;;94.70451717502343;130.0;0.19908276761088567;16.803499054702;410.3747086947602;Surchauffe roulement pompe
413.1993941811405;1000.0;3055.31402378641;79.8098297560766;74.17916452410921;48.33020155444777;58.287145956961105;129.13337939183623;48.57185603548271;57.16955804958685;0.11043886470780842;12.273836398083615;334.809072350573;Surcharge mécanique
399.86584841970364;396.1073343294315;2928.654216185238;42.06677862939758;77.11190759693338;50.87783647576635;28.03416219768497;24.984572697469044;70.70482351314465;56.29620217564655;0.1260458246064146;21.059223099627964;459.6627324175007;Normal
355.60186404424365;358.2210065475024;3075.615386418346;61.06843183557844;73.9784025123356;28.530104430008322;74.29998498230619;45.32069341487944;;31.481777372498218;0.10957014148899005;20.420390080129163;;Normal
355.59945203362025;471.0532877739611;2983.5724482807436;64.24604575504839;84.98168974353503;79.23628479207365;105.18008975616145;43.12284005384107;29.596876971487795;29.807311360366977;0.15894212837238986;23.827484687563405;345.6198868487947;Débit insuffisant
345.80836121681995;229.3117783397969;2941.248930753074;62.94795954215496;32.18684740885051;60.24948288831511;124.83162281413877;111.6141798096416;130.0;101.88124247690936;0.5;14.559715732768119;352.8193226357565;Anomalie électrique - tension
426.6176145774935;1000.0;3027.887739010409;73.86042293119603;100.48486911718763;57.367863333429824;28.423317901408275;66.1696235725255;38.69860993922259;;0.057807033295514454;19.438519514126845;358.82958736033925;Surcharge mécanique
400.1115011743209;441.25517476835273;2967.6772760872477;22.6508338033273;23.824309062714793;70.33959416399249;107.71372790419947;77.76454938337753;49.989774812691486;103.99049149267721;0.5;24.401091127510718;463.78135341526865;Vibrations excessives
410.8072577796046;440.2511050646091;2985.913166198425;109.07142454370793;77.66695640485841;113.46561144675745;49.376759440839734;71.60675688215872;104.94825573044835;;0.13034240639343592;23.08549399269261;422.2847863025081;Normal
